"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
1,3,"Laghouat","Ain madhi","Oued Morra","Oued mzi","PC","othmani laarbi oued m’zi","n",06,33.927278,2.437729
1,3,"Laghouat","Ain madhi","Ain madhi","Ain madhi","SS","allal djillali ain madhi","n",0,0,0
1,3,"Laghouat","Ain madhi","Ain madhi","Houita","SS","houita","n",0,0,0
1,3,"Laghouat","Ain madhi","Ain madhi","Tadjrouna","SS","lalmaya","n",0,0,0
1,3,"Laghouat","Ain madhi","Ain madhi","Tadjrouna","SS","tadjrouna","n",0,0,0
1,3,"Laghouat","Ain madhi","Tadjmout","Tadjmout","SS","hadjeb","n",0,0,0
1,3,"Laghouat","Ain madhi","Tadjmout","Tadjmout","SS","dhaya","n",0,0,0
1,3,"Laghouat","Ain madhi","Tadjmout","Tadjmout","SS","benchikh mohamed","n",0,0,0
1,3,"Laghouat","Ain madhi","Tadjmout","Tadjmout","SS","kaouka mohamed","n",0,0,0
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","EPH","Hopital mixte Laghouat","n",240,33.79200,2.85013
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","EPH","Laghouat","n",240,33.80568970096714,2.8583731592405752
1,3,"Laghouat","Aflou","Aflou","Aflou","EPH","Aflou","n",238,34.117566,2.094899
1,3,"Laghouat","Ksar elhirane","Ksar elhirane","Ksar elhirane","EPH","Ksar elhirane","y",121,33.777234,3.147508
1,3,"Laghouat","Laghouat","Laghouat","Laghouat","EHS","Meres et enfants Laghouat","y",80,33.80328,2.87341
1,3,"Laghouat","Aflou","Aflou","Aflou","EHS","Meres et enfants Aflou","y",120,34.112169,2.079669	
